id,budget,popularity,release_date,revenue,title,vote_average,vote_count,uid,director_id
43597,237000000,150,10-12-2009,2787965087,Avatar,7.2,11800,19995,4762
43598,300000000,139,19-05-2007,961000000,"Pirates of the Caribbean: At Worlds End""",6.9,4500,285,4763
43599,245000000,107,26-10-2015,880674609,Spectre,6.3,4466,206647,4764
43600,250000000,112,16-07-2012,1084939099,The Dark Knight Rises,7.6,9106,49026,4765
43601,260000000,43,07-03-2012,284139100,John Carter,6.1,2124,49529,4766
43602,258000000,115,01-05-2007,890871626,Spider-Man 3,5.9,3576,559,4767
43603,260000000,48,24-11-2010,591794936,Tangled,7.4,3330,38757,4768
43604,280000000,134,22-04-2015,1405403694,Avengers: Age of Ultron,7.3,6767,99861,4769
43605,250000000,98,07-07-2009,933959197,Harry Potter and the Half-Blood Prince,7.4,5293,767,4770
43607,270000000,57,28-06-2006,391081192,Superman Returns,5.4,1400,1452,4772
43608,200000000,107,30-10-2008,586090727,Quantum of Solace,6.1,2965,10764,4773
43609,200000000,145,20-06-2006,1065659812,"Pirates of the Caribbean: Dead Mans Chest""",7,5246,58,4763
43610,255000000,49,03-07-2013,89289910,The Lone Ranger,5.9,2311,57201,4763
43611,225000000,99,12-06-2013,662845518,Man of Steel,6.5,6359,49521,4771
43612,225000000,53,15-05-2008,419651413,The Chronicles of Narnia: Prince Caspian,6.3,1630,2454,4774
43613,220000000,144,25-04-2012,1519557910,The Avengers,7.4,11776,24428,4769
43614,380000000,135,14-05-2011,1045713802,Pirates of the Caribbean: On Stranger Tides,6.4,4948,1865,4775
43615,225000000,52,23-05-2012,624026776,Men in Black 3,6.2,4160,41154,4776
43616,250000000,120,10-12-2014,956019788,The Hobbit: The Battle of the Five Armies,7.1,4760,122917,4777
43617,215000000,89,27-06-2012,752215857,The Amazing Spider-Man,6.5,6586,1930,4778
43618,200000000,37,12-05-2010,310669540,Robin Hood,6.2,1398,20662,4779
43619,250000000,94,11-12-2013,958400000,The Hobbit: The Desolation of Smaug,7.6,4524,57158,4777
43620,180000000,42,04-12-2007,372234864,The Golden Compass,5.8,1303,2268,4780
43621,207000000,61,14-12-2005,550000000,King Kong,6.6,2337,254,4777
43622,200000000,100,18-11-1997,1845034188,Titanic,7.5,7562,597,4762
43623,250000000,198,27-04-2016,1153304495,Captain America: Civil War,7.1,7241,271110,4781
43624,209000000,64,11-04-2012,303025485,Battleship,5.5,2114,44833,4782
43625,150000000,418,09-06-2015,1513528810,Jurassic World,6.5,8662,135397,4783
43626,200000000,93,25-10-2012,1108561013,Skyfall,6.9,7604,37724,4764
43627,200000000,35,25-06-2004,783766341,Spider-Man 2,6.7,4321,558,4767
43628,200000000,77,18-04-2013,1215439994,Iron Man 3,6.8,8806,68721,4784
43629,200000000,78,03-03-2010,1025491110,Alice in Wonderland,6.4,4645,12155,4785
43630,210000000,3,24-05-2006,459359555,X-Men: The Last Stand,6.3,3525,36668,4786
43631,200000000,89,20-06-2013,743559607,Monsters University,7,3528,62211,4787
43632,150000000,21,19-06-2009,836297228,Transformers: Revenge of the Fallen,6,3138,8373,4788
43633,210000000,116,25-06-2014,1091405097,Transformers: Age of Extinction,5.8,3095,91314,4788
43634,200000000,46,07-03-2013,491868548,Oz: The Great and Powerful,5.7,3530,68728,4767
43636,170000000,73,10-12-2010,400062763,TRON: Legacy,6.3,2841,20526,4789
43637,200000000,49,11-06-2011,559852396,Cars 2,5.8,2033,49013,4790
43638,200000000,51,16-06-2011,219851172,Green Lantern,5.1,2487,44912,4791
43639,200000000,59,16-06-2010,1066969703,Toy Story 3,7.6,4597,10193,4792
43640,200000000,71,20-05-2009,371353001,Terminator Salvation,5.9,2463,534,4793
43641,190000000,102,01-04-2015,1506249360,Furious 7,7.3,4176,168259,4794
43642,200000000,81,20-06-2013,531865000,World War Z,6.7,5560,72190,4773
43644,190000000,78,05-05-2013,467365246,Star Trek Into Darkness,7.4,4418,54138,4795
43646,105000000,61,10-05-2013,351040419,The Great Gatsby,7.3,3769,64682,4796
43647,150000000,62,19-05-2010,335154643,Prince of Persia: The Sands of Time,6.2,2317,9543,4797
